RT,Crt,trltp,shrink,iscong,trgtside,crtdir
0.68999,1,1,1,0,2,1
0.50445,1,1,0.5,1,1,1
0.0009533,1,1,0.33333,0,2,1
0.00094945,0,1,0.25,1,2,2
-Inf,NaN,0,0.25,0,2,1
0.0009477,0,1,0.25,0,1,2
0.00097115,0,1,0.25,1,2,2
0.0009463,0,1,0.25,0,1,2
-Inf,NaN,0,0.25,1,2,2
0.001046,0,1,0.25,1,2,2
-Inf,NaN,1,0.33333,1,1,1
0.81383,0,1,0.5,0,1,2
0.65566,1,1,1,1,1,1
-Inf,NaN,0,0.5,0,2,1
0.82585,1,1,0.5,1,1,1
0.53363,1,1,0.33333,0,1,2
-Inf,NaN,1,0.25,1,2,2
0.47955,1,1,0.25,0,2,1
0.55562,1,1,0.2,0,1,2
-Inf,NaN,0,0.16667,1,2,2
-Inf,NaN,1,0.16667,1,1,1
0.61134,1,1,0.16667,1,1,1
0.5634,1,1,0.16667,0,1,2
-Inf,NaN,1,0.14286,0,2,1
0.78919,1,2,0.16667,1,2,2
-Inf,NaN,0,0.16667,1,2,2
-Inf,NaN,2,0.16667,0,2,1
-Inf,NaN,2,0.2,0,1,2
0.72732,1,2,0.25,1,1,1
0.53512,1,2,0.2,0,1,2
0.48915,1,2,0.16667,0,1,2
-Inf,NaN,2,0.16667,0,1,2
0.56902,1,2,0.2,0,2,1
0.56504,1,2,0.16667,1,2,2
0.54094,1,2,0.16667,0,1,2
0.49301,1,2,0.14286,1,2,2
0.51311,1,2,0.125,0,2,1
0.62472,1,2,0.11111,1,2,2
0.52888,1,2,0.11111,0,2,1
-Inf,NaN,0,0.11111,0,1,2
0.61274,1,2,0.125,1,1,1
-Inf,NaN,2,0.11111,0,2,1
-Inf,NaN,0,0.125,1,2,2
-Inf,NaN,0,0.14286,1,1,1
0.47469,1,2,0.16667,1,2,2
0.50869,1,2,0.16667,0,1,2
0.80675,1,2,0.16667,1,1,1
1.1125,0,2,0.16667,1,1,1
-Inf,NaN,0,0.2,0,1,2
0.56835,1,3,0.2,1,2,2
