Crt,RT,ld,dr,islongdelay,ischange
NaN,-Inf,4,1,0,0
NaN,-Inf,4,1,0,0
1,0.56184,4,1,0,0
0,0.60977,4,2,0,1
NaN,-Inf,1,2,0,0
1,0.69172,1,1,1,0
0,0.94358,4,2,1,1
1,0.60954,1,1,0,0
1,0.78753,1,1,0,1
NaN,-Inf,1,1,0,0
NaN,-Inf,1,1,1,0
1,0.65104,4,1,1,0
1,0.69036,1,1,1,1
NaN,-Inf,4,1,1,0
NaN,-Inf,4,1,0,0
1,0.48679,1,2,1,1
NaN,-Inf,4,1,1,0
1,0.81269,4,1,0,0
1,0.85471,1,2,0,0
0,0.57644,4,2,0,1
1,0.71748,1,2,1,0
NaN,-Inf,4,1,0,0
0,0.76843,4,1,0,1
1,0.76634,1,2,1,1
0,0.72406,4,1,1,1
1,0.61609,1,2,1,0
1,0.4919,4,1,0,0
1,0.86189,1,2,0,1
1,1.3755,4,2,1,1
1,0.70398,1,2,0,0
1,0.64969,1,2,0,1
NaN,-Inf,1,2,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,4,2,0,0
1,0.62946,4,2,1,0
1,0.6413,4,2,1,0
NaN,-Inf,1,2,0,0
NaN,-Inf,1,1,1,0
1,0.68713,1,1,1,0
1,0.89506,1,1,1,1
0,0.74479,4,1,1,0
0,0.88813,4,2,1,1
1,0.62878,1,1,0,0
NaN,-Inf,1,2,0,0
1,1.2766,4,2,0,0
1,0.64472,1,1,0,1
NaN,-Inf,4,2,0,0
1,0.83649,4,2,0,1
1,0.72588,1,1,1,0
1,0.99572,4,1,1,0
1,0.73571,1,2,1,1
0,0.5891,4,1,0,1
1,0.61353,1,1,0,1
NaN,-Inf,1,2,0,0
1,0.82753,1,2,0,0
NaN,-Inf,4,2,0,0
1,0.70737,4,2,0,0
0,0.65289,4,2,1,1
NaN,-Inf,4,1,0,0
0,0.58904,4,1,0,1
NaN,-Inf,1,2,1,0
NaN,-Inf,1,1,0,0
1,0.61874,1,1,0,1
NaN,-Inf,4,2,1,0
NaN,-Inf,1,1,0,0
1,0.5966,4,2,0,0
0,0.61862,4,2,1,1
NaN,-Inf,4,1,0,0
1,0.70452,4,1,1,0
1,0.58632,1,1,0,0
NaN,-Inf,4,2,0,0
1,0.58422,1,2,1,0
0,0.79805,4,1,0,1
0,0.50204,4,1,1,1
1,0.59069,4,2,1,0
1,0.616,1,2,0,0
1,0.75992,1,2,1,1
1,0.84368,1,2,1,1
NaN,-Inf,1,2,0,0
1,0.66155,4,1,0,0
1,0.82157,1,2,0,1
1,0.61142,1,1,1,0
1,0.6653,4,1,1,0
1,0.61794,1,2,0,1
1,0.7154,1,1,0,0
1,0.57739,4,2,0,0
NaN,-Inf,1,2,0,0
NaN,-Inf,4,1,0,0
NaN,-Inf,1,2,1,0
NaN,-Inf,1,1,0,0
0,1.1509,4,2,1,1
1,0.67299,1,1,1,0
1,0.68675,1,2,1,1
NaN,-Inf,4,1,0,0
NaN,-Inf,4,1,1,0
0,0.66055,4,1,0,1
