Crt,RT,ld,dr,islongdelay,ischange
NaN,-Inf,4,2,0,0
NaN,-Inf,4,1,0,0
0,0.46597,4,2,0,0
1,0.68998,4,1,0,1
NaN,-Inf,1,2,0,0
1,0.97977,1,2,1,0
0,0.9916,4,1,1,1
1,0.94566,1,2,0,0
1,0.70771,1,1,0,1
NaN,-Inf,1,2,0,0
NaN,-Inf,1,1,1,0
1,1.1314,4,2,1,0
1,0.77857,1,2,1,1
NaN,-Inf,4,1,1,0
NaN,-Inf,4,2,0,0
1,0.80716,1,2,1,1
NaN,-Inf,4,1,1,0
1,0.95705,4,2,0,0
1,0.75909,1,1,0,0
1,1.177,4,2,0,1
1,0.84674,1,2,1,0
NaN,-Inf,4,2,0,0
1,1.113,4,1,0,1
1,0.86294,1,1,1,1
0,0.93252,4,1,1,1
1,0.89709,1,2,1,0
1,0.8606,4,1,0,0
1,0.76669,1,2,0,1
1,0.89641,4,1,1,1
1,0.92064,1,1,0,0
1,0.81044,1,2,0,1
NaN,-Inf,1,1,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,4,1,0,0
1,1.0458,4,1,1,0
1,1.0583,4,1,1,0
NaN,-Inf,1,2,0,0
NaN,-Inf,1,1,1,0
1,0.8561,1,2,1,0
1,0.84817,1,2,1,1
1,1.138,4,1,1,0
0,1.1459,4,2,1,1
1,0.77389,1,2,0,0
NaN,-Inf,1,2,0,0
1,0.61372,4,1,0,0
1,0.92606,1,1,0,1
NaN,-Inf,4,1,0,0
1,1.0697,4,2,0,1
1,0.7422,1,2,1,0
1,1.3638,4,2,1,0
1,0.60009,1,1,1,1
1,0.74981,4,1,0,1
1,0.79786,1,2,0,1
NaN,-Inf,1,1,0,0
1,0.76334,1,1,0,0
NaN,-Inf,4,2,0,0
1,0.75553,4,2,0,0
0,0.82156,4,1,1,1
NaN,-Inf,4,2,0,0
1,0.78948,4,1,0,1
NaN,-Inf,1,2,1,0
NaN,-Inf,1,2,0,0
1,0.78749,1,2,0,1
NaN,-Inf,4,1,1,0
NaN,-Inf,1,1,0,0
1,0.62353,4,1,0,0
0,1.219,4,2,1,1
NaN,-Inf,4,1,0,0
1,1.0409,4,2,1,0
1,0.7071,1,2,0,0
NaN,-Inf,4,2,0,0
1,0.68093,1,1,1,0
1,0.86294,4,2,0,1
1,1.6948,4,1,1,1
1,1.0188,4,2,1,0
1,0.73687,1,2,0,0
1,0.80873,1,1,1,1
1,0.68474,1,1,1,1
NaN,-Inf,1,2,0,0
1,0.95839,4,1,0,0
1,0.78255,1,1,0,1
1,0.68449,1,1,1,0
1,0.88226,4,2,1,0
1,0.90647,1,2,0,1
1,0.7324,1,1,0,0
1,0.96221,4,2,0,0
NaN,-Inf,1,1,0,0
NaN,-Inf,4,1,0,0
NaN,-Inf,1,1,1,0
NaN,-Inf,1,1,0,0
-1,-Inf,4,2,1,1
1,0.71412,1,1,1,0
1,0.70042,1,2,1,1
NaN,-Inf,4,2,0,0
NaN,-Inf,4,2,1,0
1,1.0857,4,1,0,1
1,0.88601,4,2,1,0
1,0.63772,1,1,1,1
1,0.68176,1,1,1,0
1,1.2397,4,1,0,1
1,0.74182,1,2,0,1
NaN,-Inf,4,1,0,0
NaN,-Inf,1,1,0,0
1,0.80549,1,2,0,0
NaN,-Inf,1,2,0,0
1,0.97543,4,1,0,0
NaN,-Inf,4,2,0,0
1,1.7173,4,1,1,1
NaN,-Inf,4,2,1,0
NaN,-Inf,1,2,1,0
1,1.457,4,2,1,1
NaN,-Inf,1,1,1,0
1,1.0571,4,1,1,1
NaN,-Inf,1,2,0,0
1,1.027,1,1,0,0
1,1.628,4,2,0,0
NaN,-Inf,4,2,0,0
1,0.77086,1,1,0,0
NaN,-Inf,4,2,0,0
NaN,-Inf,1,1,0,0
1,0.74501,1,1,0,1
1,1.3267,4,2,0,1
NaN,-Inf,4,2,0,0
NaN,-Inf,1,1,0,0
1,1.2586,4,1,1,0
1,0.70853,1,1,1,1
1,0.98255,1,2,1,0
NaN,-Inf,4,2,1,0
1,1.1244,4,2,0,1
1,1.0222,1,1,1,1
1,1.0184,1,2,1,0
0,1.6861,4,2,1,0
1,0.95628,1,1,0,1
1,1.7042,4,2,0,0
1,1.5461,4,2,1,0
NaN,-Inf,1,1,0,0
1,1.5059,4,1,0,1
1,0.71997,1,1,0,0
1,0.61648,1,1,1,0
NaN,-Inf,4,2,0,0
1,0.83978,1,2,0,1
1,0.7918,1,2,1,1
1,0.78576,4,1,0,0
1,1.1196,4,1,1,1
