it	h	LC
1	4.1578	1.8924
2	4.6184	1.8273
3	4.6189	1.771
4	3.9524	1.9184
5	4.0025	2.0812
6	4.0637	1.8258
7	4.463	1.687
8	3.5423	1.8264
9	4.7172	1.9147
10	4.598	1.8507
11	3.655	2.0296
12	4.613	1.8535
13	4.8173	1.9275
14	3.7569	1.9485
15	3.3732	1.8328
16	3.8371	2.1023
17	4.5015	1.8048
18	3.5162	1.8508
19	4.431	1.6801
20	3.5311	1.974
21	4.67	1.7772
22	4.5861	1.7451
23	4.6623	1.8421
24	3.4967	1.9829
25	4.4324	1.7775
26	3.7099	2.1293
27	3.5711	1.9135
28	3.7593	2.0818
29	3.7012	1.8884
30	4.1599	1.8603
31	4.5761	1.7876
32	4.5551	1.7742
33	4.3758	1.7013
34	3.6094	2.0055
35	4.1414	2.0114
36	3.6316	1.7075
37	4.8804	1.9957
38	4.6531	1.8802
39	3.5998	1.8861
40	4.9841	2.0432
41	4.7487	1.8004
42	3.6171	1.919
43	4.6865	1.8849
44	3.9698	1.7749
45	4.2206	1.9247
46	4.7194	1.8156
47	4.1278	2.0514
48	4.6438	1.8075
49	4.5737	1.8022
50	4.4597	1.7819
51	3.6507	2.0669
52	4.6155	1.786
53	3.4103	1.9249
54	4.9199	1.9532
55	4.2997	1.7087
56	4.4801	1.8195
57	3.8826	1.8065
58	3.7549	1.9618
59	4.6183	1.9233
60	4.5978	1.8765
61	4.8009	1.8723
62	3.8387	2.1442
63	4.8804	1.907
64	3.4442	1.8798
65	4.5229	1.7917
66	4.0007	2.0672
67	3.7578	1.9203
68	3.7419	1.9496
69	4.0402	1.8374
70	4.3975	1.7083
71	4.4807	1.7385
72	4.7577	1.8675
73	3.7709	1.8006
74	3.4048	1.8885
75	4.015	1.9767
76	3.3988	1.9595
77	4.9169	1.9872
78	4.6605	1.7975
79	4.0269	2.0386
80	3.6523	2.0078
81	3.873	1.8893
82	4.6855	1.8046
83	4.2584	1.8577
84	3.908	1.8651
85	4.6456	1.8318
86	4.4433	1.7715
87	4.5877	1.8081
88	4.6918	1.8975
89	4.6693	1.7674
90	4.1217	1.8301
91	4.4972	1.7758
92	4.5818	1.7593
93	3.8714	2.0641
94	3.3552	1.8201
95	4.5576	1.8931
96	4.7586	1.8362
97	4.6837	1.8203
98	3.7755	2.018
99	4.3702	1.7417
100	4.2259	1.9316
101	4.433	1.7282
102	3.7294	2.0043
103	4.5798	1.6649
104	4.2919	1.8728
105	3.7014	1.9969
106	3.7302	1.9069
107	3.4086	1.9286
108	4.2109	1.8635
109	4.1961	1.8879
110	4.5817	1.8575
111	3.8675	2.0355
112	4.3892	1.7948
113	3.8709	1.888
114	3.4289	1.8994
115	3.6663	1.948
116	3.3894	1.8514
117	4.5407	1.8088
118	4.5479	1.7559
119	4.6724	1.8755
120	4.6285	1.798
121	4.4261	1.682
122	4.5626	1.788
123	3.9875	1.8285
124	4.0116	1.9477
125	4.1474	1.8363
126	4.4681	1.711
127	4.5289	1.7959
128	4.087	1.8369
129	4.1565	1.9078
130	4.3493	1.9204
131	4.8122	1.8752
132	3.6189	1.9973
133	4.0383	1.9058
134	3.943	1.9658
135	3.7095	1.8764
136	4.7272	1.9321
137	4.4	1.88
138	3.592	1.7345
139	4.7305	1.8962
140	4.642	1.8513
141	4.5657	1.7726
142	4.6371	1.775
143	4.6184	1.8546
144	4.6773	1.9034
145	3.5769	1.9291
146	4.4863	1.7373
147	4.3936	1.8246
148	3.8064	1.9442
149	3.4132	1.9042
150	3.6311	1.8615
151	4.5251	1.7738
152	3.8468	2.1255
153	4.6445	1.872
154	4.6791	1.793
155	4.785	1.8645
156	4.5853	1.8328
157	3.795	1.9809
158	4.595	1.8397
159	3.7915	2.0823
160	4.9145	1.945
161	3.5178	1.991
162	3.5071	1.9561
163	3.3969	1.8631
164	3.4423	1.8973
165	3.45	1.9085
166	3.3236	1.8508
167	4.0977	1.9032
168	4.6101	1.8498
169	3.6852	1.9327
170	4.4538	1.7336
171	4.4544	1.7997
172	4.0226	1.9704
173	3.5359	2.0079
174	3.7885	1.8914
175	3.7721	2.1436
176	4.0247	1.6947
177	3.7132	2.1527
178	4.6177	1.8157
179	3.4911	1.9754
180	3.3845	1.8167
181	3.6596	1.9371
182	4.9662	2.0584
183	4.6173	1.8195
184	4.7831	1.8344
185	4.4635	1.7449
186	4.5988	1.8631
187	4.4554	1.9172
188	3.5721	1.832
189	3.7193	1.8309
190	4.0835	1.735
191	4.0776	1.884
192	4.077	1.8484
193	3.6064	1.817
194	4.5248	1.7915
195	4.3761	1.9685
196	4.0259	1.8572
197	4.6483	1.7792
198	3.6993	2.0419
199	3.7784	1.8476
200	3.7696	1.9309
201	4.7277	1.8573
202	4.3357	1.9104
203	4.288	1.6871
204	3.7809	1.9855
205	4.5423	1.8279
206	4.5147	1.8258
207	4.7568	1.9517
208	3.5659	1.9281
209	4.9126	1.9141
210	3.7747	1.8626
211	4.6337	1.8192
212	4.4658	1.7307
